index,movie_title,release_date,genre,inflation_adjusted_gross,divided
359,Reign of Fire,2002,Action,62480631,62480,631
360,Sorority Boys,2002,Comedy,14797862,14797,862
361,The Rookie,2002,Drama,109691666,109691,666
362,Big Trouble,2002,Comedy,10537188,10537,188
363,ESPNs Ultimate X - The Movie,2002,Documentary,6089874,6089,874
364,Bad Company,2002,Action,43756218,43756,218
365,Lilo & Stitch,2002,Adventure,211506702,211506,702
366,The Country Bears,2002,Adventure,24650121,24650,121
367,Signs,2002,Thriller/Suspense,330754439,330754,439
368,Sen to Chihiro no Kamikakushi,2002,Adventure,14338992,14338,992
369,Sweet Home Alabama,2002,Comedy,184521151,184521,151
370,Moonlight Mile,2002,Drama,9909094,9909,094
371,Tuck Everlasting,2002,Drama,27789959,27789,959
372,The Santa Clause 2,2002,Comedy,201959095,201959,095
373,Treasure Planet,2002,Adventure,55189145,55189,145
374,The Hot Chick,2002,Comedy,50624654,50624,654
375,25th Hour,2002,Drama,18325463,18325,463
376,The Recruit,2003,Thriller/Suspense,73793522,73793,522
377,Shanghai Knights,2003,Adventure,84537962,84537,962
378,The Jungle Book 2,2003,Adventure,66966883,66966,883
379,Bringing Down the House,2003,Comedy,185481530,185481,53
380,Piglets Big Movie,2003,Comedy,32298812,32298,812
381,Ghosts of the Abyss,2003,Documentary,23803108,23803,108
382,Holes,2003,Drama,94203395,94203,395
383,The Lizzie McGuire Movie,2003,Comedy,59743191,59743,191
384,Finding Nemo,2003,Adventure,518148559,518148,559
385,Pirates of the Caribbean: The Curse of the Black Pearl,2003,Adventure,426967926,426967,926
386,Freaky Friday,2003,Comedy,154090360,154090,36
387,Open Range,2003,Western,81547672,81547,672
388,Cold Creek Manor,2003,Thriller/Suspense,29895090,29895,09
389,Under the Tuscan Sun,2003,Comedy,60944053,60944,053
390,Veronica Guerin,2003,Drama,2194759,2194,759
391,Brother Bear,2003,Adventure,119218333,119218,333
392,The Haunted Mansion,2003,Comedy,105775678,105775,678
393,Calendar Girls,2003,Comedy,42379650,42379,65
394,Young Black Stallion,2003,Adventure,9254344,9254,344
395,Teachers Pet: The Movie,2004,Comedy,8812764,8812,764
396,Miracle,2004,Drama,87392478,87392,478
397,Confessions of a Teenage Drama Queen,2004,Comedy,39816568,39816,568
398,Hidalgo,2004,Western,91340921,91340,921
399,The Ladykillers,2004,Comedy,53881593,53881,593
400,Home on the Range,2004,Comedy,67910166,67910,166
401,The Alamo,2004,Western,30416359,30416,359
402,Raising Helen,2004,Comedy,50886144,50886,144
403,Around the World in 80 Days,2004,Adventure,32585356,32585,356
404,Americas Heart and Soul,2004,Documentary,426246,426,246
405,King Arthur,2004,Adventure,70423706,70423,706
406,The Village,2004,Thriller/Suspense,155021748,155021,748
407,The Princess Diaries 2: Royal Engagement,2004,Romantic Comedy,129164207,129164,207
408,Mr 3000,2004,Comedy,29593641,29593,641
409,The Last Shot,2004,Comedy,629502,629,502
410,Ladder 49,2004,Action,101161045,101161,045
411,The Incredibles,2004,Adventure,354488708,354488,708
412,National Treasure,2004,Adventure,234069353,234069,353
413,The Life Aquatic with Steve Zissou,2004,Comedy,32198655,32198,655
414,Aliens of the Deep,2005,Documentary,11740942,11740,942
415,Poohs Heffalump Movie,2005,Adventure,23801835,23801,835
416,The Pacifier,2005,Comedy,148619029,148619,029
417,Ice Princess,2005,Comedy,32064685,32064,685
418,A Lot Like Love,2005,Comedy,28716947,28716,947
419,The Hitchhikers Guide to the Galaxy,2005,Comedy,67096891,67096,891
420,Hauru no ugoku shiro,2005,Adventure,6194870,6194,87
421,Herbie: Fully Loaded,2005,Comedy,86812798,86812,798
422,Dark Water,2005,Thriller/Suspense,33500491,33500,491
423,Sky High,2005,Adventure,84088854,84088,854
424,Valiant,2005,Adventure,25616292,25616,292
425,Flightplan,2005,Thriller/Suspense,117960425,117960,425
426,The Greatest Game Ever Played,2005,Drama,20162672,20162,672
427,Shopgirl,2005,Drama,13519621,13519,621
428,Chicken Little,2005,Adventure,177954661,177954,661
429,The Chronicles of Narnia: The Lion The Witch and The Wardrobe,2005,Adventure,381557539,381557,539
430,Casanova,2005,Drama,14574087,14574,087
431,Glory Road,2006,Drama,54888236,54888,236
432,Annapolis,2006,Drama,22044113,22044,113
433,Roving Mars,2006,Documentary,12948025,12948,025
434,Eight Below,2006,Adventure,105037235,105037,235
435,The Shaggy Dog,2006,Comedy,78667428,78667,428
436,Stay Alive,2006,Horror,29712825,29712,825
437,The Wild,2006,Adventure,48114115,48114,115
438,Stick It,2006,Comedy,34634731,34634,731
439,Goal! The Dream Begins,2006,Drama,5512647,5512,647
440,Cars,2006,Comedy,314140384,314140,384
441,Pirates of the Caribbean: Dead Man’s Chest,2006,Adventure,544817142,544817,142
442,Step Up,2006,Drama,84078780,84078,78
443,Invincible,2006,Drama,74398864,74398,864
444,The Guardian,2006,Action,70801353,70801,353
445,The Prestige,2006,Thriller/Suspense,68289913,68289,913
446,Tim Burtons The Nightmare Before Christmas,2006,Musical,30737517,30737,517
447,The Santa Clause 3: The Escape Clause,2006,Comedy,108694869,108694,869
448,Deja Vu,2006,Thriller/Suspense,82267038,82267,038
